,Gebiedscode,meting,date,doy,dop,plastic_6_packringen,plastic_tassen,plastic_kleine_plastic_tasjes,plastic_drankflessen_groterdan_halveliter,plastic_drankflessen_kleinerdan_halveliter,plastic_wikkels_van_drankflessen,plastic_verpakking_van_schoonmaakmiddelen,plastic_voedselverpakkingen_frietbakjes_etc,plastic_cosmeticaverpakkingen,plastic_motorolieverpakking_groterdan50cm,plastic_jerrycans,plastic_kratten,plastic_auto_onderdelen,plastic_doppen_en_deksels,plastic_aanstekers,plastic_speelgoed,plastic_plastic_bekers_of_delen_daarvan,plastic_netzakken,plastic_handschoenen_huishoudelijk,plastic_handschoenen_professioneel,plastic_touw_diameter_groterdan_1cm,plastic_touw_diameter_kleinerdan_1cm,plastic_sportvisspullen,plastic_breekstaafjes,plastic_emmers,plastic_industrieel_verpakkingsmateriaal,plastic_helmen,plastic_geweerpatronen,plastic_schoenen,plastic_plastic_stukjes_0_2_5cm_hard_plastic,plastic_plastic_stukjes_2_5_50cm_hard_plastic,plastic_plastic_stukjes_0_2_5cm_zacht_plastic,plastic_plastic_stukjes_2_5_50cm_zacht_plastic,plastic_overig_plastic,plastic_piepschuim_0_2_5cm,plastic_piepschuim_2_5_50cm,plastic_piepschuim_voedselverpakkingen,plastic_plastic_folies_groterdan_50cm,plastic_hard_plastic_groterdan_50cm,plastic_rietjes,plastic_snoep_snack_chipsverpakking,plastic_piepschuim_groterdan_50cm,plastic_piepschuim_bekers,plastic_bestek,plastic_biofilm_waterfiltertjes,plastic_kitspuiten,plastic_kunststof_band_tiewraps,plastic_lolliestokjes,plastic_motorolieverpakking_kleinerdan50cm,plastic_vuilniszakken,plastic_schrijfwaren,plastic_visdraad,plastic_vuurwerk,plastic_borden_new,plastic_roerstaafjes_new,plastic_bloempotten_new,plastic_plakband_new,rubber_ballonnen,rubber_banden,rubber_overig_rubber,textiel_kleding,textiel_vloerbedekking,textiel_schoeisel,textiel_overig_textiel,papier_tassen,papier_karton,papier_sigarettenverpakking,papier_sigarettenfilters,papier_kartonnen_bekers,papier_kranten,papier_papier_overig,papier_drankkarton,papier_ondefinieerbaar,hout_kurk,hout_pellets,hout_ijsstokjes,hout_kwasten,hout_overig_hout_keinderdan_50cm,hout_overig_hout_groterdan_50cm,metaal_aluminiumfolie,metaal_capsules,metaal_drankblikjes,metaal_elektriciteitsdraad,metaal_oud_ijzer,metaal_kroonkurken,metaal_oliedrum,metaal_omheinigsdraad_prikkeldraad,metaal_spuitbussen,metaal_verfblik,metaal_vislood,metaal_voedselblikken,metaal_wegwerpbarbecues,metaal_overig_metaal_kleinerdan_50cm,metaal_overig_metaal_groterdan_50cm,glas_flessen_pottten,glas_lampen_tl_lampen,glas_overig_glas,sanitair_cosmetica,sanitair_plastic_wattenstaafjes,sanitair_kartonnen_wattenstaafjes,sanitair_vochtige_doekjes,sanitair_condooms,sanitair_maandverband_en_verpakkingen_ervan,sanitair_plastic_kam_borstel,sanitair_tampons_en_tamponapplicators,sanitair_tissues_wc_papier,sanitair_toiletverfrissers,sanitair_overig_sanitair,medisch_verpakkingen,medisch_spuiten,medisch_overig_medisch,granulaat_korrels
0,W(078a)R-ZHNL,0,20171021,294.0,293.0,0.0,0.0,0.0008,0.0,0.0004,0.0012,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0008,0.0012,0.0,0.0,0.0,0.002,0.0008,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.002,0.0004,0.0016,0.0012,0.0016,0.0,0.0008,,,0.0,,0.0068,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0008,0.0,0.0,0.0028,0.01,0.0,0.0,0.0032,0.0012,,0.0,0.0,0.0,0.0,0.002,0.0,0.0008,0.0,0.0044,0.0,0.0008,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.004,0.0004,0.002,,0.0,,,0.0,0.0,0.0,0.0004,,0.0,0.0008,0.0,0.0,0.0,0.0
1,W(074b)R-REFE,0,20171103,307.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0004,0.0016,0.0,0.0,0.0,0.0004,0.0084,0.004,0.0,0.0,0.0008,0.0,0.0,0.0,0.0088,0.0012,0.002,0.0048,0.0008,0.0,0.0032,,,0.0,,0.0228,,,0.002,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0004,0.0,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0012,0.0052,0.0,0.0,0.0008,0.0004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0008,0.0,0.0,0.0,0.0032,,0.0012,,,0.0004,0.0012,0.0,0.0,,0.0,0.0004,0.0,0.0,0.0,0.0
2,W(062a)L-GENL,0,20171016,289.0,288.0,0.0,0.0,0.0004,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0036,0.0,0.0016,0.0,0.0,,,0.0,,0.0012,,,0.0,,0.0,0.0,,0.0,,0.0008,0.0,,,,,,0.0008,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0004,0.0144,0.0,0.0,0.0012,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0012,0.0,0.0004,0.0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0012,0.0,0.038,,0.0004,,,0.0,0.0,0.0,0.0,,0.0,0.0004,0.0,0.0,0.0,0.0
3,W(048a)L-GENL,0,20171004,277.0,276.0,0.0,0.0008,0.0004,0.0,0.0008,0.0004,0.0004,0.0004,0.0004,0.0,0.0,0.0,0.0,0.002,0.0004,0.0,0.0008,0.0,0.0,0.0,0.0004,0.0004,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.002,0.0008,0.0028,0.0028,0.0,0.0,,,0.0008,,0.004,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0008,0.0052,0.0,0.0,0.0044,0.0,,0.0,0.0,0.0,0.0,0.0016,0.0004,0.0012,0.0,0.0024,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0004,0.006,0.0,0.0028,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0008,0.0,0.0,0.0004,0.0
4,W(046a)L-GENL,0,20171002,275.0,274.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0028,0.0012,0.0,0.0,0.0016,,,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0012,,0.0004,,,0.0,0.0004,0.0,0.0,,0.0,0.0004,0.0,0.0,0.0,0.0
5,W(042a)L-GENL,0,20171004,277.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.002,0.0028,0.0008,0.0,0.0,,,0.0012,,0.0016,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0004,0.0004,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0004,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
6,W(041a)R-GENL,0,20171007,280.0,279.0,0.0,0.0,0.0036,0.0028,0.0032,0.0,0.0004,0.0044,0.0008,0.0,0.0,0.0,0.0004,0.0104,0.0004,0.0004,0.0012,0.0,0.0,0.0,0.0,0.0008,0.0004,0.0,0.0004,0.0008,0.0,0.0004,0.0008,0.002,0.0144,0.014,0.0024,0.014,0.0,0.0036,,,0.0,,0.0072,,,0.0,,0.0,0.0004,,0.0,,0.0004,0.0,,,,,,0.0004,0.0,0.0064,0.0008,0.0008,0.0048,0.0096,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0004,,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0,0.0,0.0936,0.0028,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0008,0.0,0.0004,0.0,0.002,0.0,0.0004,,0.0,,,0.0,0.0012,0.0016,0.0,,0.0,0.0024,0.0,0.0,0.0008,0.0
7,W(038b)R-GENL,0,20171011,284.0,283.0,0.0,0.0,0.0004,0.0,0.0008,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0008,0.0,0.0,0.0,0.0,0.0004,0.0016,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.002,0.0036,0.0012,0.0052,0.0004,0.0,0.0008,,,0.0,,0.0028,,,0.0,,0.0,0.0004,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0012,0.0,0.0004,0.0,0.0004,0.0,0.0004,0.0,0.0,0.0,0.0,0.002,0.0008,,0.0,0.0,0.0,0.0008,0.0016,0.0004,0.0012,0.0,0.004,0.0,0.0004,0.0008,0.0,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0012,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
8,W(038a)L-GENL,0,20171002,275.0,274.0,0.0,0.0,0.0,0.0004,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0016,0.0,0.0,0.0008,,,0.0,,0.0016,,,0.0,,0.0,0.0004,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0012,0.0004,0.0,0.0224,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0036,0.0,0.0008,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0368,,0.0004,,,0.0,0.0,0.0,0.0,,0.0,0.0012,0.0,0.0,0.0,0.0
9,W(031a)R-GENL,0,20171008,281.0,280.0,0.0,0.0,0.0008,0.0004,0.0,0.0004,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0,0.0,0.0004,0.0036,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0036,0.0012,0.0024,0.0016,0.0012,0.0,0.0,,,0.0,,0.0068,,,0.0012,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0008,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0008,,0.0,,,0.0004,0.0,0.0,0.0,,0.0,0.0004,0.0004,0.0,0.0,0.0
